Date,Open,High,Low,Close,Adj Close,Volume
2023-02-23,33.009998,35.990002,32.799999,35.459999,35.182919,258800
2023-02-24,35.330002,35.330002,33.439999,34.020000,33.754169,166900
2023-02-27,34.400002,34.759998,33.799999,34.020000,33.754169,101300
2023-02-28,33.980000,34.340000,33.740002,33.919998,33.654945,114700
2023-03-01,33.919998,34.509998,32.910000,33.959999,33.694637,124000
2023-03-02,33.720001,34.130001,33.470001,33.880001,33.615265,91700
2023-03-03,34.000000,34.139999,33.630001,33.980000,33.714481,60200
2023-03-06,33.980000,34.029999,33.070000,33.349998,33.089405,104300
2023-03-07,33.220001,33.849998,33.110001,33.770000,33.506123,89900
2023-03-08,33.740002,33.869999,32.599998,33.000000,32.742138,69500
2023-03-09,32.959999,33.270000,32.340000,32.560001,32.305580,66300
2023-03-10,32.279999,32.380001,31.200001,32.119999,31.869017,168000
2023-03-13,31.730000,32.070000,31.030001,31.400000,31.154642,103400
2023-03-14,32.180000,32.759998,31.559999,31.889999,31.640812,79600
2023-03-15,31.299999,31.840000,31.020000,31.820000,31.571360,119200
2023-03-16,31.389999,32.560001,31.030001,32.209999,31.958313,78600
2023-03-17,32.130001,32.320000,31.340000,31.650000,31.402687,140200
2023-03-20,31.840000,32.200001,31.340000,31.580000,31.333235,84700
2023-03-21,31.990000,32.590000,31.799999,31.930000,31.680500,72600
2023-03-22,31.850000,32.160000,31.400000,31.450001,31.204252,79100
2023-03-23,31.620001,31.860001,30.370001,30.610001,30.370815,88200
2023-03-24,30.400000,30.870001,29.900000,30.850000,30.608940,113100
2023-03-27,31.150000,31.270000,30.650000,31.100000,30.856985,131800
2023-03-28,31.080000,31.400000,30.400000,30.650000,30.410501,241700
2023-03-29,30.940001,31.080000,29.719999,29.730000,29.497690,129700
2023-03-30,30.000000,30.299999,29.340000,29.660000,29.428238,138000
2023-03-31,29.940001,30.540001,29.840000,30.520000,30.281519,130400
2023-04-03,30.480000,30.889999,29.900000,30.139999,29.904488,104400
2023-04-04,30.240000,30.240000,28.780001,29.090000,28.862694,84900
2023-04-05,29.090000,29.299999,28.290001,28.440001,28.217772,110500
2023-04-06,28.420000,28.680000,27.900000,28.590000,28.366598,128100
2023-04-10,28.570000,29.049999,28.510000,28.730000,28.505505,68900
2023-04-11,28.820000,29.320000,28.650000,28.920000,28.694021,57900
2023-04-12,29.209999,29.209999,28.620001,28.660000,28.436052,54200
2023-04-13,28.730000,28.990000,28.590000,28.910000,28.684099,57900
2023-04-14,28.950001,29.200001,28.120001,28.180000,27.959803,60900
2023-04-17,28.250000,28.510000,28.080000,28.440001,28.217772,102800
2023-04-18,28.410000,28.969999,28.410000,28.620001,28.396364,71700
2023-04-19,28.530001,28.570000,28.160000,28.290001,28.068945,48000
2023-04-20,28.180000,28.590000,28.180000,28.440001,28.217772,41400
2023-04-21,28.459999,29.049999,28.459999,28.889999,28.664253,89700
2023-04-24,28.900000,29.049999,28.660000,28.750000,28.525349,32000
2023-04-25,28.629999,28.629999,28.049999,28.110001,27.890350,40700
2023-04-26,28.040001,28.230000,27.510000,27.620001,27.404181,42300
2023-04-27,27.700001,28.309999,27.700001,28.170000,27.949881,50600
2023-04-28,28.209999,28.770000,28.129999,28.709999,28.485659,58300
2023-05-01,28.799999,29.740000,28.799999,29.690001,29.458004,59000
2023-05-02,29.389999,29.389999,28.469999,28.959999,28.733707,132900
2023-05-03,29.000000,29.360001,27.830000,28.090000,27.870506,138700
2023-05-04,29.170000,29.170000,26.120001,26.740000,26.531054,187900
2023-05-05,26.930000,27.709999,26.590000,27.590000,27.490583,146900
2023-05-08,27.500000,27.840000,27.000000,27.040001,26.942566,41000
2023-05-09,27.020000,27.520000,26.879999,27.500000,27.400908,49200
2023-05-10,27.780001,28.400000,27.389999,28.260000,28.158171,85600
2023-05-11,27.940001,28.260000,27.610001,28.000000,27.899107,46200
2023-05-12,28.059999,28.590000,27.920000,28.150000,28.048565,62100
2023-05-15,28.200001,28.410000,28.020000,28.150000,28.048565,94500
2023-05-16,28.100000,28.100000,27.230000,27.230000,27.131880,100300
2023-05-17,27.330000,27.430000,26.629999,27.219999,27.121916,103800
2023-05-18,27.190001,27.850000,27.190001,27.820000,27.719755,57000
2023-05-19,28.040001,28.309999,27.270000,27.299999,27.201628,45900
2023-05-22,27.430000,27.780001,27.290001,27.639999,27.540403,41100
2023-05-23,27.559999,27.990000,27.370001,27.850000,27.749647,72400
2023-05-24,27.780001,27.780001,27.330000,27.620001,27.520477,69100
2023-05-25,27.490000,27.639999,26.420000,26.490000,26.394547,44400
2023-05-26,26.570000,27.020000,26.520000,26.820000,26.723358,49200
2023-05-30,26.750000,26.930000,26.530001,26.540001,26.444368,51300
2023-05-31,26.549999,26.549999,25.860001,26.160000,26.065737,102600
2023-06-01,26.260000,26.270000,25.440001,25.490000,25.398151,56500
2023-06-02,25.790001,26.820000,25.709999,26.790001,26.693468,89700
2023-06-05,26.540001,26.549999,25.950001,26.120001,26.025881,51000
2023-06-06,26.100000,27.420000,26.100000,27.240000,27.141846,66200
2023-06-07,27.299999,28.440001,27.299999,28.370001,28.267775,83500
2023-06-08,28.309999,28.309999,27.570000,27.879999,27.779537,54600
2023-06-09,27.850000,27.850000,27.309999,27.379999,27.281340,39400
2023-06-12,27.389999,28.040001,27.309999,27.870001,27.769575,45000
2023-06-13,27.920000,28.139999,27.190001,27.469999,27.371016,108200
2023-06-14,27.580000,28.100000,27.200001,27.260000,27.161774,77300
2023-06-15,27.100000,27.650000,26.750000,27.650000,27.550367,69700
2023-06-16,27.750000,28.209999,27.340000,27.660000,27.560331,129400
